WorkerId|WorkTimeInSeconds|Query|URL|Rationale|Relevance
19514869|180|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|Established in 1845 -- with the current spa wing built in 1901 -- French Lick Springs Hotel seamlessly blends its fascinating history with modern amenities and services. Family-friendly activities and facilities make this an ideal destination for celebrations or relaxing getaways. This classic American hotel has something everyone can enjoy; whether it’s golf, spa, hiking, biking, swimming, tennis or shopping.|3
31659778|25|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|Host a one-of-a-kind experience that creates lifetime memories at French Lick Resort. There are numerous indoor and outdoor ceremony and reception options that will make your special day unforgettable. Our beautifully manicured gardens, impeccably decorated ballrooms and breath-taking Atrium at the West Baden Springs Hotel provide extraordinary settings for the smallest of intimate ceremonies to the largest of extravagant destination weddings. From floral arrangements, entertainment and menus to the officiant and photographer, we have everything you need. Reserve a block of hotel rooms for your guests, plan pre-wedding parties and take advantage of all that French Lick Resort has to offer.|2
94611377|35|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|Host a one-of-a-kind experience that creates lifetime memories at French Lick Resort. There are numerous indoor and outdoor ceremony and reception options that will make your special day unforgettable. Our beautifully manicured gardens, impeccably decorated ballrooms and breath-taking Atrium at the West Baden Springs Hotel provide extraordinary settings for the smallest of intimate ceremonies to the largest of extravagant destination weddings.|3
25475121|62|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|Host a one-of-a-kind experience that creates lifetime memories at French Lick Resort. There are numerous indoor and outdoor ceremony and reception options that will make your special day unforgettable.|3
31659778|22|french lick resort and casino|http://www.frenchlick.com/weddings/weddings.asp|Host a one-of-a-kind experience that creates lifetime memories at French Lick Resort. There are numerous indoor and outdoor ceremony and reception options that will make your special day unforgettable.|3
93122106|29|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|Established in 1845 -- with the current spa wing built in 1901 -- French Lick Springs Hotel seamlessly blends its fascinating history with modern amenities and services.|3
25475121|304|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|Established in 1845 -- with the current spa wing built in 1901 -- French Lick Springs Hotel seamlessly blends its fascinating history with modern amenities and services.|3
19937580|42|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|"The tradition lives on
Established in 1845 -- with the current spa wing built in 1901 -- French Lick Springs Hotel seamlessly blends its fascinating history with modern amenities and services. Family-friendly activities and facilities make this an ideal destination for celebrations or relaxing getaways. This classic American hotel has something everyone can enjoy; whether it’s golf, spa, hiking, biking, swimming, tennis or shopping."|3
94826772|23|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|Established in 1845 -- with the current spa wing built in 1901 -- French Lick Springs Hotel seamlessly blends its fascinating history with modern amenities and services. Family-friendly activities and facilities make this an ideal destination for celebrations or relaxing getaways. This classic American hotel has something everyone can enjoy; whether it’s golf, spa, hiking, biking, swimming, tennis or shopping.|3
38265360|17|french lick resort and casino|http://www.frenchlick.com/accommodations/french_lick.asp|French Lick Springs Hotel seamlessly blends its fascinating history with modern amenities and services. Family-friendly activities and facilities make this an ideal destination for celebrations or relaxing getaways. This classic American hotel has something everyone can enjoy; whether it’s golf, spa, hiking, biking, swimming, tennis or shopping.|2
